Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,BBVA.MC,BBVA.MC,BBVA.MC,BBVA.MC,BBVA.MC,BBVA.MC,BBVA.MC,BBVA.MC
Date,,,,,,,,
2000-01-03,4.040035247802734,13.6233491897583,0.0,13.757854461669922,13.594527244567871,13.69060230255127,0.0,8244257
2000-01-04,3.9346184730529785,13.267873764038086,0.0,13.536882400512695,13.219837188720703,13.45041561126709,0.0,8522096
2000-01-05,3.846296787261963,12.970044136047363,0.0,13.210229873657227,12.912399291992188,13.142976760864258,0.0,12159826
2000-01-06,3.846296787261963,12.970044136047363,0.0,12.970044136047363,12.970044136047363,12.970044136047363,0.0,0
2000-01-07,3.89473032951355,13.133370399475098,0.0,13.248659133911133,12.998866081237793,13.248659133911133,0.0,62261944
2000-01-10,3.8320493698120117,12.922005653381348,0.0,13.277482032775879,12.902791023254395,13.277482032775879,0.0,58740351
2000-01-11,3.755124568939209,12.662605285644531,0.0,12.893183708190918,12.53770923614502,12.873969078063965,0.0,6761292
2000-01-12,3.7428600788116455,12.51849365234375,0.103088,12.643390655517578,12.393596649169922,12.643390655517578,0.0,8266754
2000-01-13,3.650940179824829,12.211055755615234,0.0,12.53770923614502,12.105374336242676,12.48967170715332,0.0,9372669
2000-01-14,3.722750186920166,12.451242446899414,0.0,12.480064392089844,12.230271339416504,12.29752254486084,0.0,8538333
2000-01-17,3.688282012939453,12.335951805114746,0.0,12.53770923614502,12.307129859924316,12.53770923614502,0.0,6825078
2000-01-18,3.610722780227661,12.076552391052246,0.0,12.326345443725586,11.942047119140625,12.307129859924316,0.0,9698972
2000-01-19,3.6049787998199463,12.057336807250977,0.0,12.057336807250977,11.817151069641113,11.85558032989502,0.0,13027455
2000-01-20,3.5992343425750732,12.038122177124023,0.0,12.163019180297852,11.922833442687988,12.105374336242676,0.0,9459285
2000-01-21,3.5245485305786133,11.788328170776367,0.0,12.009300231933594,11.749898910522461,11.942047119140625,0.0,6786146
2000-01-24,3.541783094406128,11.845973014831543,0.0,12.047728538513184,11.817151069641113,12.047728538513184,0.0,5863878
2000-01-25,3.6193418502807617,12.105374336242676,0.0,12.259093284606934,11.79793643951416,11.836365699768066,0.0,9429700
2000-01-26,3.7313690185546875,12.480064392089844,0.0,12.53770923614502,12.153410911560059,12.29752254486084,0.0,9120798
2000-01-27,3.8778669834136963,12.970044136047363,0.0,13.114154815673828,12.54731559753418,12.614567756652832,0.0,13662088
2000-01-28,3.8635032176971436,12.922005653381348,0.0,13.171799659729004,12.585745811462402,13.171799659729004,0.0,16119882
2000-01-31,3.806053638458252,12.7298583984375,0.0,12.97965145111084,12.585745811462402,12.93161392211914,0.0,9868382
2000-02-01,3.857757806777954,12.902791023254395,0.0,13.00847339630127,12.691428184509277,12.902791023254395,0.0,9530743
2000-02-02,3.846266269683838,12.864361763000488,0.0,12.93161392211914,12.672212600708008,12.93161392211914,0.0,7648463
2000-02-03,3.8778669834136963,12.970044136047363,0.0,13.114154815673828,12.691428184509277,12.893183708190918,0.0,7766488
2000-02-04,3.8204147815704346,12.777894973754883,0.0,13.114154815673828,12.7298583984375,13.114154815673828,0.0,10516943
2000-02-07,3.748603343963623,12.53770923614502,0.0,12.854754447937012,12.508886337280273,12.806716918945312,0.0,8135156
2000-02-08,3.892228364944458,13.018080711364746,0.0,13.018080711364746,12.383990287780762,12.528100967407227,0.0,13714517
2000-02-09,3.797435760498047,12.701034545898438,0.0,13.066118240356445,12.652997970581055,13.066118240356445,0.0,9070278
2000-02-10,3.7399871349334717,12.508886337280273,0.0,12.681819915771484,12.48967170715332,12.585745811462402,0.0,8404876
2000-02-11,4.027235984802246,13.469630241394043,0.0,13.6233491897583,12.29752254486084,12.528100967407227,0.0,24338356
2000-02-14,4.495452404022217,15.035642623901367,0.0,16.17892837524414,14.026862144470215,14.411160469055176,0.0,59647471
2000-02-15,4.380552768707275,14.651346206665039,0.0,15.275829315185547,14.593701362609863,15.275829315185547,0.0,23093519
2000-02-16,4.39778470993042,14.708990097045898,0.0,14.939569473266602,14.564879417419434,14.699382781982422,0.0,19374515
2000-02-17,4.39778470993042,14.708990097045898,0.0,14.843494415283203,14.574485778808594,14.574485778808594,0.0,10019217
